"network","month","prop_health","low95ci_prop_health","up95ci_prop_health","prop_death","low95ci_prop_death","up95ci_prop_death"
"FOXNEWSW","2","0.036463913026227","0.0342002933490383","0.0388700267149892","0.00682458437487601","0.00586225371443472","0.00794015815321633"
"FOXNEWSW","3","0.0382782844109234","0.0377399016743387","0.038824023365033","0.00698753585872593","0.0067555251465351","0.00722742085820956"
"FOXNEWSW","4","0.0363337175843226","0.0357925697697573","0.0368827179408476","0.00919782472875107","0.0089233439720693","0.00948063369626714"
"FOXNEWSW","5","0.0262333560574027","0.0255883400162246","0.0268941290109141","0.00896162508737261","0.00858389555023997","0.00935572351582635"
"FOXNEWSW","6","0.0236872907982011","0.0227458107715906","0.0246665451519185","0.00772121485923157","0.00718562633534078","0.00829599763667569"
"FOXNEWSW","7","0.0254047403186116","0.0246284658340814","0.0262047243412185","0.00809480637223158","0.00765680691590115","0.00855745640604428"
"FOXNEWSW","8","0.0188231852370798","0.01809446128332","0.0195805172214531","0.00685949204345115","0.00642126585618361","0.00732713566773286"
"FOXNEWSW","9","0.0238790764400736","0.0229280270137636","0.0248683568637519","0.00779682513280592","0.00725530837499582","0.00837801988437168"
"FOXNEWSW","10","0.0275328199193967","0.0268633438765504","0.0282184422525117","0.00463313958385983","0.00435904439861666","0.00492424166183598"
"FOXNEWSW","11","0.02772507761297","0.0267913832000961","0.0286902042623123","0.00596757502587099","0.00553619789898764","0.0064320012796826"
"FOXNEWSW","12","0.0289560405041892","0.028178075997229","0.0297547486665942","0.00576265184787513","0.00541602097961037","0.00613114349953981"
"MSNBCW","2","0.0406876295784381","0.0371970364937865","0.0444866176786741","0.00872494816862474","0.00714721062454322","0.0106369043488863"
"MSNBCW","3","0.0399115874841032","0.0391433704538464","0.0406942042609432","0.00782141971972907","0.0074790056216299","0.00817928721859392"
"MSNBCW","4","0.0369484029938661","0.0363030753178972","0.0376047278964787","0.0112192880470482","0.010860996975231","0.0115892091473846"
"MSNBCW","5","0.0330853013330181","0.0324162502195815","0.0337676421718144","0.0107439482162386","0.010360627424947","0.0111412226028887"
"MSNBCW","6","0.02983169977217","0.0289785351627267","0.0307090916702342","0.00846512062963928","0.00801018287474558","0.0089454704138378"
"MSNBCW","7","0.0297484699472884","0.02912678097256","0.0303829761922833","0.00861074751476987","0.00827502326874948","0.00895989679277498"
"MSNBCW","8","0.0255430170497184","0.0247333573872038","0.0263783510412383","0.00988196348793334","0.00937816078999365","0.0104123552201007"
"MSNBCW","9","0.0270736175882745","0.0261665767917387","0.028011053259466","0.0108844103930713","0.0103089394699415","0.0114913966907078"
"MSNBCW","10","0.0312715394038383","0.030659220750616","0.0318956528999102","0.00688934258881176","0.00660085541272504","0.00719027433508883"
"MSNBCW","11","0.033556735965893","0.0327146986532259","0.034419602333914","0.00859047806618665","0.00816312396343136","0.00903984699035758"
"MSNBCW","12","0.0428130366473017","0.0419708352059488","0.0436713234738955","0.00955917278672951","0.00915788859043038","0.00997776240810045"
"CNNW","2","0.038077731092437","0.0323287367515031","0.0447777899843249","0.00551470588235294","0.00350605006009845","0.00857441950914097"
"CNNW","3","0.044153988926311","0.0432411194981659","0.0450851689734726","0.00917593818754366","0.00875639493472034","0.00961526140120899"
"CNNW","4","0.041484920637173","0.0408300895537518","0.0421497704421088","0.0107103632839438","0.0103743904899468","0.0110570487781324"
"CNNW","5","0.0387967897400468","0.0381079058522759","0.0394975860418297","0.0119831370799781","0.011597169509691","0.0123817331968964"
"CNNW","6","0.0334708354971144","0.0326968753993864","0.0342624103523448","0.00949940720563596","0.00908533798166745","0.00993204576471789"
"CNNW","7","0.0382576845901747","0.0376860559281133","0.0388376167604094","0.0102406697547518","0.00994230050232186","0.0105478625155904"
"CNNW","8","0.033218749560645","0.0325647844738767","0.0338853531808692","0.0103898660143124","0.010022098607702","0.0107709171348098"
"CNNW","9","0.03410713071851","0.0333793451889753","0.0348501672804835","0.0118406294609476","0.0114094554178772","0.0122878147170536"
"CNNW","10","0.0342400629034291","0.0337218368144079","0.0347659504411522","0.00834154168954679","0.00808392749289512","0.00860725988558458"
"CNNW","11","0.0368021203622285","0.03605413185267","0.0375649801499322","0.0104309486203893","0.0100301664151342","0.0108474857442408"
"CNNW","12","0.0494938336442167","0.0487589921591444","0.0502391432468168","0.0104885395727316","0.0101457928844415","0.010842686901068"
