"network","week","wordcounts","show","year","death_text","health_text"
"cnn",33,1656,"Americas_Choice_2020_Democratic_National_Convention",2020,15,35
"cnn",34,1690,"Americas_Choice_2020_Democratic_National_Convention",2020,19,54
"cnn",34,2509,"Americas_Choice_2020_Republican_National_Convention",2020,26,75
"cnn",35,2327,"Americas_Choice_2020_Republican_National_Convention",2020,20,38
"cnn",10,5883,"Americas_Choice_2020_Super_Tuesday",2020,40,238
"cnn",11,4952,"Americas_Choice_2020_Super_Tuesday",2020,42,186
"cnn",10,1446,"Anderson_Cooper_360",2020,2,35
"cnn",11,1178,"Anderson_Cooper_360",2020,6,36
"cnn",12,3931,"Anderson_Cooper_360",2020,32,232
"cnn",13,2267,"Anderson_Cooper_360",2020,28,98
"cnn",14,1098,"Anderson_Cooper_360",2020,8,51
"cnn",16,1840,"Anderson_Cooper_360",2020,14,119
"cnn",17,3090,"Anderson_Cooper_360",2020,32,142
"cnn",20,1471,"Anderson_Cooper_360",2020,34,71
"cnn",22,1421,"Anderson_Cooper_360",2020,18,55
"cnn",24,207,"Anderson_Cooper_360",2020,5,9
"cnn",27,1377,"Anderson_Cooper_360",2020,8,36
"cnn",28,2213,"Anderson_Cooper_360",2020,21,62
"cnn",30,3984,"Anderson_Cooper_360",2020,33,199
"cnn",31,2036,"Anderson_Cooper_360",2020,19,130
"cnn",32,2364,"Anderson_Cooper_360",2020,8,166
"cnn",33,2757,"Anderson_Cooper_360",2020,26,159
"cnn",34,2900,"Anderson_Cooper_360",2020,33,54
"cnn",36,1346,"Anderson_Cooper_360",2020,29,46
"cnn",37,1593,"Anderson_Cooper_360",2020,23,35
"cnn",38,835,"Anderson_Cooper_360",2020,14,53
"cnn",39,1886,"Anderson_Cooper_360",2020,16,44
"cnn",40,3040,"Anderson_Cooper_360",2020,9,90
"cnn",41,1053,"Anderson_Cooper_360",2020,8,32
"cnn",43,596,"Anderson_Cooper_360",2020,4,28
"cnn",44,1328,"Anderson_Cooper_360",2020,22,44
"cnn",46,884,"Anderson_Cooper_360",2020,6,21
"cnn",47,466,"Anderson_Cooper_360",2020,1,7
"cnn",48,720,"Anderson_Cooper_360",2020,2,40
"cnn",49,1762,"Anderson_Cooper_360",2020,33,59
"cnn",50,2711,"Anderson_Cooper_360",2020,40,164
"cnn",9,1558,"At_This_Hour_With_Kate_Bolduan",2020,7,91
"cnn",10,1260,"At_This_Hour_With_Kate_Bolduan",2020,7,41
"cnn",11,818,"At_This_Hour_With_Kate_Bolduan",2020,0,33
"cnn",33,594,"At_This_Hour_With_Kate_Bolduan",2020,4,36
"cnn",34,835,"At_This_Hour_With_Kate_Bolduan",2020,2,44
"cnn",11,1742,"CNN_Debate_Post_Analysis",2020,6,44
