"fauci","cc","network","show","week","year"
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",9,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",10,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",11,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",12,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",13,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",14,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",15,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",16,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",17,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",18,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",19,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",20,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",21,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",22,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",23,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",24,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",25,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",26,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",27,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",28,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",29,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",30,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",31,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",32,2020
0,6,"cnn","Americas_Choice_2020_Democratic_National_Convention",33,2020
0,11,"cnn","Americas_Choice_2020_Democratic_National_Convention",34,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",35,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",36,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",37,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",38,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",39,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",40,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",41,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",42,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",43,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",44,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",45,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",46,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",47,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",48,2020
NA,NA,"cnn","Americas_Choice_2020_Democratic_National_Convention",49,2020
