"network","week","wordcounts","show","year","death_text","health_text","network2","week2","wc","cnn","msnbc","log_wc","cnn_times_week2","msnbc_times_week2","show_id"
"cnn",33,1656,"Americas_Choice_2020_Democratic_National_Convention",2020,15,35,"cnn",24,1656,1,0,7.4121603349452,24,0,0
"cnn",34,1690,"Americas_Choice_2020_Democratic_National_Convention",2020,19,54,"cnn",25,1690,1,0,7.43248380791712,25,0,0
"cnn",34,2509,"Americas_Choice_2020_Republican_National_Convention",2020,26,75,"cnn",25,2509,1,0,7.82763954636642,25,0,1
"cnn",35,2327,"Americas_Choice_2020_Republican_National_Convention",2020,20,38,"cnn",26,2327,1,0,7.75233516330229,26,0,1
"cnn",10,5883,"Americas_Choice_2020_Super_Tuesday",2020,40,238,"cnn",1,5883,1,0,8.67982211486446,1,0,2
"cnn",11,4952,"Americas_Choice_2020_Super_Tuesday",2020,42,186,"cnn",2,4952,1,0,8.50754681436443,2,0,2
"cnn",10,1446,"Anderson_Cooper_360",2020,2,35,"cnn",1,1446,1,0,7.27655640271871,1,0,3
"cnn",11,1178,"Anderson_Cooper_360",2020,6,36,"cnn",2,1178,1,0,7.07157336421153,2,0,3
"cnn",12,3931,"Anderson_Cooper_360",2020,32,232,"cnn",3,3931,1,0,8.27664912542186,3,0,3
"cnn",13,2267,"Anderson_Cooper_360",2020,28,98,"cnn",4,2267,1,0,7.72621265050753,4,0,3
"cnn",14,1098,"Anderson_Cooper_360",2020,8,51,"cnn",5,1098,1,0,7.00124562206948,5,0,3
"cnn",16,1840,"Anderson_Cooper_360",2020,14,119,"cnn",7,1840,1,0,7.51752085060303,7,0,3
"cnn",17,3090,"Anderson_Cooper_360",2020,32,142,"cnn",8,3090,1,0,8.03592636989179,8,0,3
"cnn",20,1471,"Anderson_Cooper_360",2020,34,71,"cnn",11,1471,1,0,7.29369772060144,11,0,3
"cnn",22,1421,"Anderson_Cooper_360",2020,18,55,"cnn",13,1421,1,0,7.2591161280971,13,0,3
"cnn",24,207,"Anderson_Cooper_360",2020,5,9,"cnn",15,207,1,0,5.33271879326537,15,0,3
"cnn",27,1377,"Anderson_Cooper_360",2020,8,36,"cnn",18,1377,1,0,7.22766249872865,18,0,3
"cnn",28,2213,"Anderson_Cooper_360",2020,21,62,"cnn",19,2213,1,0,7.70210434005105,19,0,3
"cnn",30,3984,"Anderson_Cooper_360",2020,33,199,"cnn",21,3984,1,0,8.29004161870449,21,0,3
"cnn",31,2036,"Anderson_Cooper_360",2020,19,130,"cnn",22,2036,1,0,7.61874237767041,22,0,3
"cnn",32,2364,"Anderson_Cooper_360",2020,8,166,"cnn",23,2364,1,0,7.76811037852599,23,0,3
"cnn",33,2757,"Anderson_Cooper_360",2020,26,159,"cnn",24,2757,1,0,7.9218984110238,24,0,3
"cnn",34,2900,"Anderson_Cooper_360",2020,33,54,"cnn",25,2900,1,0,7.97246601597457,25,0,3
"cnn",36,1346,"Anderson_Cooper_360",2020,29,46,"cnn",27,1346,1,0,7.20489251020467,27,0,3
"cnn",37,1593,"Anderson_Cooper_360",2020,23,35,"cnn",28,1593,1,0,7.37337430991005,28,0,3
"cnn",38,835,"Anderson_Cooper_360",2020,14,53,"cnn",29,835,1,0,6.72743172485086,29,0,3
"cnn",39,1886,"Anderson_Cooper_360",2020,16,44,"cnn",30,1886,1,0,7.5422134631934,30,0,3
"cnn",40,3040,"Anderson_Cooper_360",2020,9,90,"cnn",31,3040,1,0,8.01961279440027,31,0,3
"cnn",41,1053,"Anderson_Cooper_360",2020,8,32,"cnn",32,1053,1,0,6.95939851213398,32,0,3
"cnn",43,596,"Anderson_Cooper_360",2020,4,28,"cnn",34,596,1,0,6.39024066706535,34,0,3
"cnn",44,1328,"Anderson_Cooper_360",2020,22,44,"cnn",35,1328,1,0,7.19142933003638,35,0,3
"cnn",46,884,"Anderson_Cooper_360",2020,6,21,"cnn",37,884,1,0,6.78445706263764,37,0,3
"cnn",47,466,"Anderson_Cooper_360",2020,1,7,"cnn",38,466,1,0,6.14418563412565,38,0,3
"cnn",48,720,"Anderson_Cooper_360",2020,2,40,"cnn",39,720,1,0,6.5792512120101,39,0,3
"cnn",49,1762,"Anderson_Cooper_360",2020,33,59,"cnn",40,1762,1,0,7.47420480649612,40,0,3
