"id","fauci","cc","network","show","week","year","network2","week2","death_text","health_text","mentions_health2","mentions_death2","cnn","msnbc","log_cc","cnn_times_death","cnn_times_health","msnbc_times_death","msnbc_times_health","death_times_health","cnn_times_death_and_health","msnbc_times_death_and_health","show_id"
"All_In_With_Chris_Hayes_11_2020",1,6,"msnbc","All_In_With_Chris_Hayes",11,2020,"msnbc",2,7,20,0,0,0,1,1.79175946922805,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_12_2020",0,4,"msnbc","All_In_With_Chris_Hayes",12,2020,"msnbc",3,9,34,0,0,0,1,1.38629436111989,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_13_2020",0,3,"msnbc","All_In_With_Chris_Hayes",13,2020,"msnbc",4,7,27,0,0,0,1,1.09861228866811,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_16_2020",0,1,"msnbc","All_In_With_Chris_Hayes",16,2020,"msnbc",7,31,46,1,1,0,1,0,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_17_2020",0,10,"msnbc","All_In_With_Chris_Hayes",17,2020,"msnbc",8,20,50,1,1,0,1,2.30258509299405,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_18_2020",0,16,"msnbc","All_In_With_Chris_Hayes",18,2020,"msnbc",9,55,147,1,1,0,1,2.77258872223978,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_19_2020",0,5,"msnbc","All_In_With_Chris_Hayes",19,2020,"msnbc",10,36,49,1,1,0,1,1.6094379124341,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_20_2020",0,9,"msnbc","All_In_With_Chris_Hayes",20,2020,"msnbc",11,62,67,1,1,0,1,2.19722457733622,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_21_2020",0,23,"msnbc","All_In_With_Chris_Hayes",21,2020,"msnbc",12,53,71,1,1,0,1,3.13549421592915,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_25_2020",0,2,"msnbc","All_In_With_Chris_Hayes",25,2020,"msnbc",16,8,10,0,0,0,1,0.693147180559945,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_27_2020",0,15,"msnbc","All_In_With_Chris_Hayes",27,2020,"msnbc",18,15,101,1,0,0,1,2.70805020110221,0,0,0,1,0,0,0,0
"All_In_With_Chris_Hayes_28_2020",0,7,"msnbc","All_In_With_Chris_Hayes",28,2020,"msnbc",19,24,35,0,1,0,1,1.94591014905531,0,0,1,0,0,0,0,0
"All_In_With_Chris_Hayes_29_2020",0,20,"msnbc","All_In_With_Chris_Hayes",29,2020,"msnbc",20,36,77,1,1,0,1,2.99573227355399,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_30_2020",0,4,"msnbc","All_In_With_Chris_Hayes",30,2020,"msnbc",21,15,40,1,0,0,1,1.38629436111989,0,0,0,1,0,0,0,0
"All_In_With_Chris_Hayes_31_2020",2,21,"msnbc","All_In_With_Chris_Hayes",31,2020,"msnbc",22,51,100,1,1,0,1,3.04452243772342,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_33_2020",0,6,"msnbc","All_In_With_Chris_Hayes",33,2020,"msnbc",24,27,9,0,1,0,1,1.79175946922805,0,0,1,0,0,0,0,0
"All_In_With_Chris_Hayes_34_2020",0,4,"msnbc","All_In_With_Chris_Hayes",34,2020,"msnbc",25,2,2,0,0,0,1,1.38629436111989,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_37_2020",0,3,"msnbc","All_In_With_Chris_Hayes",37,2020,"msnbc",28,8,34,0,0,0,1,1.09861228866811,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_38_2020",2,9,"msnbc","All_In_With_Chris_Hayes",38,2020,"msnbc",29,11,37,0,0,0,1,2.19722457733622,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_39_2020",0,10,"msnbc","All_In_With_Chris_Hayes",39,2020,"msnbc",30,0,19,0,0,0,1,2.30258509299405,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_40_2020",0,27,"msnbc","All_In_With_Chris_Hayes",40,2020,"msnbc",31,20,135,1,1,0,1,3.29583686600433,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_41_2020",0,14,"msnbc","All_In_With_Chris_Hayes",41,2020,"msnbc",32,19,42,1,1,0,1,2.63905732961526,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_42_2020",0,15,"msnbc","All_In_With_Chris_Hayes",42,2020,"msnbc",33,11,35,0,0,0,1,2.70805020110221,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_43_2020",0,3,"msnbc","All_In_With_Chris_Hayes",43,2020,"msnbc",34,5,15,0,0,0,1,1.09861228866811,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_44_2020",0,11,"msnbc","All_In_With_Chris_Hayes",44,2020,"msnbc",35,23,55,1,1,0,1,2.39789527279837,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_45_2020",0,12,"msnbc","All_In_With_Chris_Hayes",45,2020,"msnbc",36,4,17,0,0,0,1,2.484906649788,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_46_2020",0,11,"msnbc","All_In_With_Chris_Hayes",46,2020,"msnbc",37,30,86,1,1,0,1,2.39789527279837,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_47_2020",0,6,"msnbc","All_In_With_Chris_Hayes",47,2020,"msnbc",38,16,27,0,1,0,1,1.79175946922805,0,0,1,0,0,0,0,0
"All_In_With_Chris_Hayes_48_2020",0,13,"msnbc","All_In_With_Chris_Hayes",48,2020,"msnbc",39,14,78,1,0,0,1,2.56494935746154,0,0,0,1,0,0,0,0
"All_In_With_Chris_Hayes_49_2020",1,19,"msnbc","All_In_With_Chris_Hayes",49,2020,"msnbc",40,35,82,1,1,0,1,2.94443897916644,0,0,1,1,1,0,1,0
"All_In_With_Chris_Hayes_50_2020",0,2,"msnbc","All_In_With_Chris_Hayes",50,2020,"msnbc",41,8,81,1,0,0,1,0.693147180559945,0,0,0,1,0,0,0,0
"All_In_With_Chris_Hayes_51_2020",0,5,"msnbc","All_In_With_Chris_Hayes",51,2020,"msnbc",42,4,19,0,0,0,1,1.6094379124341,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_52_2020",0,2,"msnbc","All_In_With_Chris_Hayes",52,2020,"msnbc",43,11,19,0,0,0,1,0.693147180559945,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_53_2020",0,10,"msnbc","All_In_With_Chris_Hayes",53,2020,"msnbc",44,11,28,0,0,0,1,2.30258509299405,0,0,0,0,0,0,0,0
"All_In_With_Chris_Hayes_9_2020",0,4,"msnbc","All_In_With_Chris_Hayes",9,2020,"msnbc",0,7,19,0,0,0,1,1.38629436111989,0,0,0,0,0,0,0,0
"AM_Joy_10_2020",1,10,"msnbc","AM_Joy",10,2020,"msnbc",1,15,78,1,0,0,1,2.30258509299405,0,0,0,1,0,0,0,1
"AM_Joy_12_2020",0,14,"msnbc","AM_Joy",12,2020,"msnbc",3,26,96,1,1,0,1,2.63905732961526,0,0,1,1,1,0,1,1
"AM_Joy_13_2020",0,35,"msnbc","AM_Joy",13,2020,"msnbc",4,43,147,1,1,0,1,3.55534806148941,0,0,1,1,1,0,1,1
"AM_Joy_14_2020",0,14,"msnbc","AM_Joy",14,2020,"msnbc",5,6,44,0,0,0,1,2.63905732961526,0,0,0,0,0,0,0,1
"AM_Joy_16_2020",0,7,"msnbc","AM_Joy",16,2020,"msnbc",7,35,57,1,1,0,1,1.94591014905531,0,0,1,1,1,0,1,1
"AM_Joy_17_2020",0,36,"msnbc","AM_Joy",17,2020,"msnbc",8,45,134,1,1,0,1,3.58351893845611,0,0,1,1,1,0,1,1
"AM_Joy_19_2020",0,7,"msnbc","AM_Joy",19,2020,"msnbc",10,4,48,1,0,0,1,1.94591014905531,0,0,0,1,0,0,0,1
"AM_Joy_20_2020",0,15,"msnbc","AM_Joy",20,2020,"msnbc",11,22,59,1,1,0,1,2.70805020110221,0,0,1,1,1,0,1,1
"AM_Joy_21_2020",0,11,"msnbc","AM_Joy",21,2020,"msnbc",12,22,31,0,1,0,1,2.39789527279837,0,0,1,0,0,0,0,1
"AM_Joy_22_2020",0,2,"msnbc","AM_Joy",22,2020,"msnbc",13,14,15,0,0,0,1,0.693147180559945,0,0,0,0,0,0,0,1
"AM_Joy_25_2020",0,30,"msnbc","AM_Joy",25,2020,"msnbc",16,6,12,0,0,0,1,3.40119738166216,0,0,0,0,0,0,0,1
"AM_Joy_28_2020",0,32,"msnbc","AM_Joy",28,2020,"msnbc",19,27,42,0,1,0,1,3.46573590279973,0,0,1,0,0,0,0,1
"AM_Joy_29_2020",0,5,"msnbc","AM_Joy",29,2020,"msnbc",20,7,8,0,0,0,1,1.6094379124341,0,0,0,0,0,0,0,1
"AM_Joy_30_2020",0,2,"msnbc","AM_Joy",30,2020,"msnbc",21,5,5,0,0,0,1,0.693147180559945,0,0,0,0,0,0,0,1
"AM_Joy_32_2020",0,17,"msnbc","AM_Joy",32,2020,"msnbc",23,14,21,0,0,0,1,2.83321334405622,0,0,0,0,0,0,0,1
"AM_Joy_35_2020",0,6,"msnbc","AM_Joy",35,2020,"msnbc",26,15,6,0,0,0,1,1.79175946922805,0,0,0,0,0,0,0,1
"AM_Joy_36_2020",0,8,"msnbc","AM_Joy",36,2020,"msnbc",27,4,8,0,0,0,1,2.07944154167984,0,0,0,0,0,0,0,1
"AM_Joy_40_2020",0,2,"msnbc","AM_Joy",40,2020,"msnbc",31,4,138,1,0,0,1,0.693147180559945,0,0,0,1,0,0,0,1
"AM_Joy_41_2020",0,13,"msnbc","AM_Joy",41,2020,"msnbc",32,8,59,1,0,0,1,2.56494935746154,0,0,0,1,0,0,0,1
"AM_Joy_43_2020",0,6,"msnbc","AM_Joy",43,2020,"msnbc",34,22,41,0,1,0,1,1.79175946922805,0,0,1,0,0,0,0,1
"AM_Joy_44_2020",0,3,"msnbc","AM_Joy",44,2020,"msnbc",35,20,33,0,1,0,1,1.09861228866811,0,0,1,0,0,0,0,1
"AM_Joy_47_2020",0,56,"msnbc","AM_Joy",47,2020,"msnbc",38,16,71,1,1,0,1,4.02535169073515,0,0,1,1,1,0,1,1
"AM_Joy_48_2020",0,27,"msnbc","AM_Joy",48,2020,"msnbc",39,13,58,1,0,0,1,3.29583686600433,0,0,0,1,0,0,0,1
"America_Together_Keeping_the_Faith_15_2020",0,9,"fox","America_Together_Keeping_the_Faith",15,2020,"fox",6,21,37,0,0,0,0,2.19722457733622,0,0,0,0,0,0,0,2
"America_vs._Virus_12_2020",0,3,"fox","America_vs._Virus",12,2020,"fox",3,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,3
"American_Voices_With_Alicia_Menendez_40_2020",0,12,"msnbc","American_Voices_With_Alicia_Menendez",40,2020,"msnbc",31,18,129,1,1,0,1,2.484906649788,0,0,1,1,1,0,1,4
"American_Voices_With_Alicia_Menendez_41_2020",0,10,"msnbc","American_Voices_With_Alicia_Menendez",41,2020,"msnbc",32,20,52,1,1,0,1,2.30258509299405,0,0,1,1,1,0,1,4
"American_Voices_With_Alicia_Menendez_43_2020",0,10,"msnbc","American_Voices_With_Alicia_Menendez",43,2020,"msnbc",34,4,11,0,0,0,1,2.30258509299405,0,0,0,0,0,0,0,4
"American_Voices_With_Alicia_Menendez_44_2020",0,4,"msnbc","American_Voices_With_Alicia_Menendez",44,2020,"msnbc",35,19,37,0,1,0,1,1.38629436111989,0,0,1,0,0,0,0,4
"American_Voices_With_Alicia_Menendez_45_2020",0,3,"msnbc","American_Voices_With_Alicia_Menendez",45,2020,"msnbc",36,18,29,0,1,0,1,1.09861228866811,0,0,1,0,0,0,0,4
"American_Voices_With_Alicia_Menendez_46_2020",0,8,"msnbc","American_Voices_With_Alicia_Menendez",46,2020,"msnbc",37,12,35,0,0,0,1,2.07944154167984,0,0,0,0,0,0,0,4
