"fauci","cc","network","show","week","year","network2","week2","cnn","msnbc","log_cc","cnn_times_week2","msnbc_times_week2","show_id"
0,6,"cnn","Americas_Choice_2020_Democratic_National_Convention",33,2020,"cnn",24,1,0,1.79175946922805,24,0,0
0,11,"cnn","Americas_Choice_2020_Democratic_National_Convention",34,2020,"cnn",25,1,0,2.39789527279837,25,0,0
0,35,"cnn","Americas_Choice_2020_Republican_National_Convention",34,2020,"cnn",25,1,0,3.55534806148941,25,0,1
0,12,"cnn","Americas_Choice_2020_Republican_National_Convention",35,2020,"cnn",26,1,0,2.484906649788,26,0,1
6,52,"cnn","Americas_Choice_2020_Super_Tuesday",10,2020,"cnn",1,1,0,3.95124371858143,1,0,2
0,3,"cnn","Americas_Choice_2020_Super_Tuesday",11,2020,"cnn",2,1,0,1.09861228866811,2,0,2
0,2,"cnn","Anderson_Cooper_360",10,2020,"cnn",1,1,0,0.693147180559945,1,0,3
0,13,"cnn","Anderson_Cooper_360",11,2020,"cnn",2,1,0,2.56494935746154,2,0,3
0,12,"cnn","Anderson_Cooper_360",12,2020,"cnn",3,1,0,2.484906649788,3,0,3
0,17,"cnn","Anderson_Cooper_360",13,2020,"cnn",4,1,0,2.83321334405622,4,0,3
0,5,"cnn","Anderson_Cooper_360",14,2020,"cnn",5,1,0,1.6094379124341,5,0,3
0,4,"cnn","Anderson_Cooper_360",16,2020,"cnn",7,1,0,1.38629436111989,7,0,3
1,12,"cnn","Anderson_Cooper_360",17,2020,"cnn",8,1,0,2.484906649788,8,0,3
0,33,"cnn","Anderson_Cooper_360",20,2020,"cnn",11,1,0,3.49650756146648,11,0,3
0,4,"cnn","Anderson_Cooper_360",22,2020,"cnn",13,1,0,1.38629436111989,13,0,3
0,3,"cnn","Anderson_Cooper_360",24,2020,"cnn",15,1,0,1.09861228866811,15,0,3
0,1,"cnn","Anderson_Cooper_360",26,2020,"cnn",17,1,0,0,17,0,3
0,11,"cnn","Anderson_Cooper_360",27,2020,"cnn",18,1,0,2.39789527279837,18,0,3
0,4,"cnn","Anderson_Cooper_360",28,2020,"cnn",19,1,0,1.38629436111989,19,0,3
0,45,"cnn","Anderson_Cooper_360",30,2020,"cnn",21,1,0,3.80666248977032,21,0,3
1,10,"cnn","Anderson_Cooper_360",31,2020,"cnn",22,1,0,2.30258509299405,22,0,3
0,4,"cnn","Anderson_Cooper_360",32,2020,"cnn",23,1,0,1.38629436111989,23,0,3
0,15,"cnn","Anderson_Cooper_360",33,2020,"cnn",24,1,0,2.70805020110221,24,0,3
0,19,"cnn","Anderson_Cooper_360",34,2020,"cnn",25,1,0,2.94443897916644,25,0,3
0,8,"cnn","Anderson_Cooper_360",36,2020,"cnn",27,1,0,2.07944154167984,27,0,3
0,23,"cnn","Anderson_Cooper_360",37,2020,"cnn",28,1,0,3.13549421592915,28,0,3
0,1,"cnn","Anderson_Cooper_360",38,2020,"cnn",29,1,0,0,29,0,3
0,17,"cnn","Anderson_Cooper_360",39,2020,"cnn",30,1,0,2.83321334405622,30,0,3
0,9,"cnn","Anderson_Cooper_360",40,2020,"cnn",31,1,0,2.19722457733622,31,0,3
0,7,"cnn","Anderson_Cooper_360",41,2020,"cnn",32,1,0,1.94591014905531,32,0,3
0,2,"cnn","Anderson_Cooper_360",43,2020,"cnn",34,1,0,0.693147180559945,34,0,3
0,11,"cnn","Anderson_Cooper_360",44,2020,"cnn",35,1,0,2.39789527279837,35,0,3
0,5,"cnn","Anderson_Cooper_360",46,2020,"cnn",37,1,0,1.6094379124341,37,0,3
0,1,"cnn","Anderson_Cooper_360",47,2020,"cnn",38,1,0,0,38,0,3
0,36,"cnn","Anderson_Cooper_360",49,2020,"cnn",40,1,0,3.58351893845611,40,0,3
0,8,"cnn","Anderson_Cooper_360",50,2020,"cnn",41,1,0,2.07944154167984,41,0,3
0,9,"cnn","Anderson_Cooper_360",51,2020,"cnn",42,1,0,2.19722457733622,42,0,3
0,10,"cnn","At_This_Hour_With_Kate_Bolduan",9,2020,"cnn",0,1,0,2.30258509299405,0,0,4
0,6,"cnn","At_This_Hour_With_Kate_Bolduan",10,2020,"cnn",1,1,0,1.79175946922805,1,0,4
0,6,"cnn","At_This_Hour_With_Kate_Bolduan",11,2020,"cnn",2,1,0,1.79175946922805,2,0,4
0,1,"cnn","At_This_Hour_With_Kate_Bolduan",33,2020,"cnn",24,1,0,0,24,0,4
0,2,"cnn","At_This_Hour_With_Kate_Bolduan",34,2020,"cnn",25,1,0,0.693147180559945,25,0,4
0,11,"cnn","CNN_Debate_Post_Analysis",11,2020,"cnn",2,1,0,2.39789527279837,2,0,5
0,25,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",11,2020,"cnn",2,1,0,3.2188758248682,2,0,6
0,2,"cnn","CNN_Newsroom",12,2020,"cnn",3,1,0,0.693147180559945,3,0,7
0,10,"cnn","CNN_Newsroom",13,2020,"cnn",4,1,0,2.30258509299405,4,0,7
0,15,"cnn","CNN_Newsroom",14,2020,"cnn",5,1,0,2.70805020110221,5,0,7
0,6,"cnn","CNN_Newsroom",15,2020,"cnn",6,1,0,1.79175946922805,6,0,7
